facultynum,fac_reservation,effect1,effect2
68,0,-0.00644631292240323,0.0160565787117332
69,0,0.00507615520474654,0.00150346353168307
70,1,4.558420108352806e-17,0.03352587489260254
71,0,-9.651840337904303e-17,-0.03360570061444054
72,1,0.1303801485720636,0.11173441565284396
73,0,-0.0824971190740815,-0.05799947697800946
74,0,-0.03317830537485918,-0.04980069908338725
75,1,-0.04998648668715228,-0.07640972710134657
76,0,0.01855575421199542,0.01694013547303169
77,0,-0.01855575421199453,-0.00926222932962887
78,0,0.03743819425805413,0.07496173055102773
79,1,-0.03668900607749079,-0.0816393077672208
80,0,0.05358460221996023,0.1302042266125171
81,0,0.03519896403949895,-0.0567076836593253
82,0,-0.0344671525395186,-0.01528531782100821
83,0,-0.06971706264315251,-0.0556806897321938
84,1,-0.11681245770317723,-0.102932063187866
85,0,-0.00785507948902253,-0.00733336108353895
86,0,-0.06101795884980861,-0.17712769920629115
87,0,-0.01396488282016824,-0.0094658568422226
88,0,0.08559027404530214,0.02692531352872385
89,0,-0.09955877770100534,-0.06973941328655864
90,1,-0.01268567615259694,-0.08058284924111098
91,0,0.11480656848879332,0.12706211242420526
92,0,0.05197472866897632,0.03748854835416085
93,0,0.0647410877588514,0.0790686195552101
94,0,0.0014326534118124,-0.0130905265783782
95,0,0.0099484316884777,0.00576529358754047
96,1,0.07081548475545704,0.1219030651892768
97,0,9.570953839363062e-4,-0.00573204290641904
98,0,0.00840406988191439,-0.00207324733399891
99,0,-0.07223855003496896,-0.05949939999567594
100,0,-1.3788343339863293e-15,5.600735761298845e-15
101,0,-0.02496329316223589,-0.00243431657378968
102,0,NA,-8.461534842333738e-4
103,0,5.363815024423905e-4,0.01688069041900303
104,1,0.00337778897921935,0.06413197990582606
105,1,NA,NA
106,0,-0.06868871598229563,-0.05970201825719925
107,0,0.0064762612459076,0.13649952460813858
108,0,-0.09185757346432703,-0.09777322573553016
109,0,-0.0358105619533534,-0.05107572794720921
110,0,0.14720696840077155,0.10895909963951517
111,0,0.01585238694998506,0.01821279158075615
112,0,0.1193014161197626,0.08571973422448817
113,0,-0.00290615720647889,0.02053076887919931
114,0,-0.01437241872557406,-0.03222305731238773
115,0,-0.05354759718521493,0.0067801872046888
116,0,0.02479132645528798,-0.01535214694563127
117,1,0.0912893887135596,0.02396604032429888
118,0,NA,-0.17276439967192078
119,0,NA,0.03460303163414394
120,1,-0.08631989532851894,-0.07354099464532524
121,0,NA,0.02099291147057439
122,0,NA,0.00956593635523529
123,0,0.14104577256869102,0.08536296013190776
124,0,0.04536802790760204,0.06401108185714333
125,0,-0.03521104969089293,-0.01406929636763802
126,1,0.08626203156549986,0.06930619775813894
127,0,0.03067582842944543,0.05075501432635288
128,0,0.01279579949169371,0.00389355458988638
129,1,5.994951932856049e-17,-4.492383800154967e-16
130,0,NA,-0.01594477390320393
131,1,0.00943825354478633,0.05593970975400445
132,1,NA,-0.18494898354284645
133,0,0.00627930239247803,0.02098556630978435
134,0,NA,-0.03596462113590718
135,0,-0.02498979858707746,-0.03908288580822547
136,1,NA,0.00185168222502867
137,1,-0.02115207243898327,0.01132908711889435
138,0,-0.08466928452911723,-0.06536920818794513
139,0,NA,0.01976070434319117
140,0,NA,-0.01752855342980525
141,0,-0.0899892410068055,0.0387472648441569
142,0,NA,0.03699617609780784
143,0,NA,0.00514899527761833
144,0,NA,0.02112145599195314
145,0,NA,0.02502612142826849
146,0,-0.0271746741276141,0.00773223479333798
147,1,0.0228591935815179,0.03346877378436584
148,0,-0.01768745254005654,0.00730447743886666
149,0,-0.11920560967423288,-0.10117260244486805
150,1,0.15116330499553568,0.1367503945720377
151,1,2.5735208054132342e-17,-3.465903157854422e-17
152,1,NA,0.07217783146816317
153,0,NA,-0.08060840154890625
154,0,NA,0.07732238524671325
155,0,0.09356102733701946,0.13983248094457731
156,0,-0.07480204753336409,-0.13017574475375424
157,1,0.14589400292037655,0.09444007221721444
158,0,-0.015020984211777,-0.01762975879627636
159,0,NA,0.02944708379035773
160,1,NA,0.03716457393552525
161,0,-0.00756038580701029,0.03119759177586055
162,0,-0.00502203623376698,0.00815881560803998
163,0,NA,-0.04843359813394929
164,0,0.08069583654979666,0.06279696086984611
165,0,-0.03997148042197487,-0.01338425933307257
166,0,0.03318205387150586,0.06364891651803789
167,0,-0.02844122976433226,0.05571886810868746
168,0,NA,-0.05539850619583942
169,0,0.12975628962461436,0.09810984317314758
170,1,-0.06351295124022635,-0.06568188719652034
171,1,NA,-0.01650742223581405
172,1,-0.1350004840124166,-0.1193797755599619
173,1,NA,-0.02810245793498841
174,0,-0.11719797828738102,-0.16646238581061806
175,0,-0.02265926066076566,0.06143027654944604
176,0,-0.02041585669299619,0.00449807100976178
177,1,0.00478256035381091,-0.00243834515920641
178,0,0.0760800180438469,0.06397009448624602
179,1,0.0395989248023629,0.01799170694786532
180,1,NA,0.01561501035461803
181,1,NA,-0.08422083809428668
182,0,-0.01772095878820908,-0.03367592563644586
183,0,-0.08396259906456642,-0.01369518944571882
184,0,NA,0.06774030381652581
185,1,-0.08626203156549979,-0.06930619775813913
186,0,0.06204185743972051,0.07091034992277369
187,0,-0.09794999952100836,-0.06949929999273607
188,0,-0.06467076401930583,-0.05530721471494563
189,0,NA,0.01183561330010933
190,1,-0.00479352058141382,-0.02154599134737356
191,0,NA,0.117088050101999
192,0,NA,-0.01865825773094049
193,0,NA,-0.00578583972912657
194,0,0.12783677387916545,0.13048966521910016
195,0,NA,0.01296991036260449
196,1,NA,-0.06107211409320137
197,0,NA,-0.09209343731071212
198,1,0.1288448840158783,0.0816938703072448
199,0,-0.05021012690734586,-0.06835594670623855
200,0,-0.1827010716386465,-0.1747119750073684
201,0,-0.06758877488024044,-0.08697676541613625
202,0,0.17241248772663909,0.02847328720285021
203,1,NA,0.0801528491156543
204,0,-0.01624676403765394,0.01511645292332876
205,1,0.0084129629270964,-0.00816732491890582
206,1,-0.07418758188850884,-0.00308769581787389
207,0,-0.06525849864667758,-0.04583860409026688
208,0,0.04949715891237837,0.07812031320436852
209,0,-0.07155987747284195,-0.0176223153547673
210,0,-0.03565422850277969,-0.03688711717124784
211,0,0.01612042599849218,0.05973991757557262
212,0,0.01448253206779228,-0.0060749602975545
213,0,0.21918756537160025,0.19653544522393293
214,0,NA,0.03410521729766969
215,0,-0.00893074504227654,0.03513340205097821
216,0,-0.05307080518059897,-0.05097407795895056
