studentnum,e_ee_short_score,e_cs_score,expgrad4,e_attend_grad_school,reservation_stu,female,father_college,mother_college,age,miss_age,department_id,fac_reservation,fac_associate_professor,fac_professor,fac_yearsinhighed,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_degree_college_elite,fac_female
1206,NA,0.32005400813490276,1,0,0,1,0,0,20,0,IR036CS,5,2.5806451612903225,1.935483870967742,118.70967741935485,2.1875,3.75,1.875,2.5
1207,NA,-0.7253536611797397,1,0,1,1,1,1,20,0,IR036CS,4.193548387096774,1.6666666666666663,0.3333333333333333,107,1.6129032258064515,2.903225806451613,2.5806451612903225,2.580645161290323
1208,NA,NA,1,0,1,1,1,1,20,0,IR036CS,4.6875,1.2903225806451617,0.3225806451612905,118.06451612903226,1.5625,3.4375,3.4375,3.4375
1209,NA,-0.4640017438510791,1,1,1,1,1,1,19,0,IR036CS,4.516129032258064,1,0.6666666666666666,115.33333333333331,1.9354838709677415,3.225806451612904,3.225806451612904,3.548387096774193
1210,NA,NA,1,0,0,1,1,0,19,0,IR036CS,4.838709677419355,1.3333333333333337,1,126.33333333333331,1.935483870967742,3.225806451612904,2.903225806451613,3.548387096774193
1211,NA,0.842757842792224,1,0,1,1,0,0,19,0,IR036CS,5.3125,2.5806451612903225,1.935483870967742,119.03225806451611,2.1875,3.125,1.875,2.5
1212,NA,NA,1,0,0,1,1,1,19,0,IR036CS,4.516129032258064,2,0.3333333333333333,106.66666666666666,1.6129032258064515,2.903225806451613,2.903225806451613,1.9354838709677415
1213,NA,-0.7253536611797397,1,0,0,1,1,1,20,0,IR036CS,4.0625,1.9354838709677415,0.3225806451612905,103.5483870967742,1.5625,3.4375,2.8125,2.1875
1214,NA,NA,1,1,1,1,1,1,20,0,IR036CS,4.166666666666666,2.916666666666666,0.41666666666666663,115.83333333333331,2.083333333333333,3.75,3.333333333333334,2.0833333333333335
1215,NA,-0.7253536611797397,1,1,0,1,0,0,20,0,IR036CS,3.870967741935484,2.333333333333333,0,109.33333333333334,1.6129032258064515,3.548387096774193,2.903225806451613,2.258064516129032
1216,NA,NA,1,1,1,1,0,0,19,0,IR036CS,4,2.068965517241379,0.34482758620689646,103.10344827586206,1.666666666666667,3,3,2.333333333333333
1217,NA,0.32005400813490276,1,1,1,1,0,0,20,0,IR036CS,4.137931034482759,2.5,0.3571428571428572,108.21428571428572,1.7241379310344829,3.793103448275862,3.103448275862069,2.413793103448276
