subject,studentnum,fac_reservation,e_attend,reservation_stu,female,father_college,mother_college,age,miss_age,department_id,fac_associate_professor,fac_professor,fac_yearsinhighed,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_degree_college_elite,fac_female
Physics,36,7.142857142857143,1,1,0,0,0,0,1,IR050CS,0,0,92.85714285714286,1.4285714285714288,0,2.8571428571428577,5.7142857142857135
Physics,37,8.571428571428571,15,1,0,0,0,0,1,IR033EE,4.285714285714286,0,72.85714285714286,0,0,0,1.4285714285714288
Hot,38,3.75,3.5,0,0,0,0,0,1,IR033EE,5,0,67.5,0,2.5,3.75,2.5
Math,39,10,1,1,0,1,1,0,1,IR050EE,0,0,30,0,0,5,0
Physics,39,7.142857142857143,1,1,0,1,1,0,1,IR050EE,0,0,85.71428571428571,2.8571428571428568,0,5.7142857142857135,7.142857142857143
Hot,40,6,7.5,1,0,0,0,0,1,IR050CS,0,0,84.66666666666667,0.6666666666666666,0.6666666666666666,3.333333333333334,3.333333333333334
Math,41,0,1,0,0,0,0,0,1,IR012EE,0,0,100,10,0,0,0
Physics,41,0,1,0,0,0,0,0,1,IR012EE,2.5,0,172.5,2.5,2.5,2.5,0
Math,42,5,12.5,1,1,0,0,0,1,IR036CS,0,5,100,5,0,5,0
Physics,42,10,15,1,1,0,0,0,1,IR036CS,0,0,50,0,0,0,0
Hot,43,1.176470588235294,3,1,1,1,1,0,1,IR012CS,0,1.7647058823529411,107.05882352941175,1.7647058823529411,1.7647058823529411,0,4.117647058823529
Math,44,10,5.5,1,0,1,1,0,1,IR050CS,0,0,60,0,0,0,10
Physics,44,7.142857142857143,6,1,0,1,1,0,1,IR050CS,0,0,87.14285714285714,1.4285714285714288,0,2.8571428571428577,4.285714285714286
Hot,45,5.333333333333333,9,1,1,0,0,0,1,IR050CS,0,0,78.57142857142857,0.6666666666666667,1.3333333333333337,2.6666666666666665,4
Hot,46,5.7142857142857135,15,1,1,0,0,0,1,IR036EE,0,1.4285714285714288,75.71428571428571,1.25,1.25,1.4285714285714288,1.4285714285714288
Hot,47,0,5,1,0,1,0,0,1,IR012EE,2.8571428571428568,0,161.42857142857142,4.285714285714286,1.4285714285714288,2.8571428571428568,0
Math,48,10,1,1,0,0,0,0,1,IR050CS,0,0,25,0,0,0,5
Physics,48,5.7142857142857135,1,1,0,0,0,0,1,IR050CS,0,0,93.33333333333334,1.4285714285714288,2.8571428571428568,2.8571428571428577,4.285714285714286
Hot,49,4.166666666666666,13.5,0,1,1,0,0,1,IR036EE,0.41666666666666674,0.8333333333333333,85,1.666666666666667,2.5,4.166666666666666,2.916666666666666
Math,50,10,2,0,0,1,1,0,1,IR050CS,0,0,60,0,0,0,10
Physics,50,7.142857142857143,2,0,0,1,1,0,1,IR050CS,0,0,92.85714285714286,1.4285714285714288,0,2.8571428571428577,5.7142857142857135
Math,51,0,1,1,0,0,0,0,1,IR042EE,10,0,160,0,10,10,0
Physics,51,10,0,1,0,0,0,0,1,IR042EE,0,0,115,0,5,0,5
Math,52,0,15,1,1,0,0,0,1,IR042EE,5,0,130,0,5,5,0
Physics,52,7.5,15,1,1,0,0,0,1,IR042EE,0,2.5,112.5,2.5,0,0,0
Math,53,10,3.5,1,1,0,1,0,1,IR050CS,0,0,25,0,0,0,5
Physics,53,4.285714285714286,8.5,1,1,0,1,0,1,IR050CS,0,0,100,1.4285714285714288,2.8571428571428568,4.285714285714286,4.285714285714286
Hot,54,5,9.5,0,0,0,0,0,1,IR033CS,3.75,1.25,76.25,1.25,0,1.25,5
Math,55,6,2,0,1,0,0,0,1,IR036CS,0,4,122,4,2,4,2
Physics,55,3.333333333333334,2,0,1,0,0,0,1,IR036CS,3.333333333333334,0,106.66666666666666,3.333333333333334,0,3.333333333333334,3.333333333333334
Hot,56,6,9,1,1,0,0,0,1,IR042EE,0,0,62,0,2,2,4
Hot,57,6.315789473684211,8,1,0,1,0,0,1,IR045EE,2.6315789473684212,1.0526315789473684,142.10526315789474,2.6315789473684212,2.1052631578947367,5.2631578947368425,5.7894736842105265
Physics,58,8.571428571428571,3.5,0,0,0,0,0,1,IR033EE,4.285714285714286,0,72.85714285714286,0,0,0,1.4285714285714288
Hot,59,6.25,8,0,1,1,0,0,1,IR036CS,2.083333333333333,0.8333333333333333,105,2.5,2.5,2.916666666666666,3.333333333333334
Hot,60,6.666666666666668,5.5,0,0,1,1,0,1,IR050CS,0,0,82.66666666666667,0.6666666666666667,0.6666666666666666,3.333333333333334,5.333333333333333
Math,61,5,9,1,1,1,1,0,1,IR036EE,0,0,97.5,0,2.5,2.5,7.5
Physics,61,7.142857142857143,7.5,1,1,1,1,0,1,IR036EE,0,1.4285714285714288,95.71428571428572,1.25,1.25,1.4285714285714288,1.4285714285714288
Hot,62,5.7142857142857135,9,0,1,0,0,0,1,IR036EE,0,1.4285714285714288,80,1.25,1.25,2.8571428571428568,1.4285714285714288
Physics,63,7.142857142857143,5,1,1,0,0,0,1,IR033EE,2.8571428571428568,0,55.71428571428571,0,0,1.4285714285714288,0
Hot,64,6.842105263157895,7,0,0,0,0,0,1,IR045EE,2.6315789473684212,1.0526315789473684,146.8421052631579,3.1578947368421053,2.1052631578947367,5.2631578947368425,5.7894736842105265
Physics,65,0,2.5,0,0,0,1,0,1,IR004EE,0,0,58,2,0,0,6
Hot,66,5.7142857142857135,12,1,0,0,0,0,1,IR042EE,0,1.4285714285714288,68.57142857142857,1.4285714285714288,0,0,2.8571428571428568
Hot,67,5.625,6,1,0,1,0,0,1,IR050CS,0,0,77.33333333333333,0.625,1.875,2.5,4.375
Math,68,10,6.5,0,1,0,1,0,1,IR050CS,0,0,25,0,0,0,5
Physics,68,6.666666666666666,13,0,1,0,1,0,1,IR050CS,0,0,104,0,3.333333333333334,5,3.333333333333334
Hot,69,0,9,1,0,0,0,0,1,IR012EE,2.8571428571428568,0,161.42857142857142,4.285714285714286,1.4285714285714288,2.8571428571428568,0
Hot,70,6.875,6,1,1,0,0,0,1,IR050CS,0,0,80.625,0.625,0.625,4.375,4.375
Hot,71,6.25,5,1,1,0,0,0,1,IR050CS,0,0,81.875,0.625,1.25,3.75,4.375
Hot,72,5,6,0,1,0,0,0,1,IR036EE,0,1.25,73.75,1.25,0,2.5,1.25
Math,73,10,1,1,1,1,0,0,1,IR050CS,0,0,60,0,0,0,10
Physics,73,7.142857142857143,1,1,1,1,0,0,1,IR050CS,0,0,87.14285714285714,1.4285714285714288,0,2.8571428571428577,4.285714285714286
Math,74,0,4.5,0,0,0,0,0,1,IR012CS,0,5,145,10,0,0,5
Physics,74,2.5,3,0,0,0,0,0,1,IR012CS,0,0,87.5,0,2.5,0,5
Math,75,5,8.5,0,0,0,0,0,1,IR042EE,0,0,62.5,0,2.5,0,5
Physics,75,7.5,8.5,0,0,0,0,0,1,IR042EE,1.25,1.25,96.25,0,2.5,0,2.5
Hot,76,5,7,1,0,0,0,0,1,IR042EE,3.333333333333334,0,113.33333333333334,0,1.666666666666667,1.666666666666667,0
Math,77,0,0.5,1,0,0,0,0,1,IR042EE,10,0,160,0,10,10,0
Physics,77,10,2,1,0,0,0,0,1,IR042EE,0,0,115,0,5,0,5
Math,78,10,8.5,1,0,1,1,0,1,IR045EE,5,0,180,5,5,10,10
Physics,78,8,9,1,0,1,1,0,1,IR045EE,3,1,142,3,3,7,6
Hot,79,10,5,1,0,0,0,0,1,IR050CS,0,0,20,0,0,0,10
Hot,80,4,5.5,1,0,1,1,0,1,IR004CS,0,0,42,0,2,1.0000000000000002,6
Physics,81,10,3,1,0,1,1,0,1,IR033EE,5,0,81.66666666666666,0,0,0,1.666666666666667
Math,82,6,0,0,1,0,1,0,1,IR036CS,0,4,118,4,2,4,2
Physics,82,3.333333333333334,0,0,1,0,1,0,1,IR036CS,3.333333333333334,0,66.66666666666667,6.666666666666666,0,3.333333333333334,3.333333333333334
Math,83,0,6,0,1,0,0,0,1,IR042EE,10,0,160,0,10,10,0
Physics,83,10,5.5,0,1,0,0,0,1,IR042EE,0,0,115,0,5,0,5
Math,84,0,3.5,0,1,1,0,0,1,IR004CS,0,0,50,0,0,0,0
Math,85,0,1,0,0,0,0,0,1,IR042EE,10,0,160,0,10,10,0
Physics,85,10,1,0,0,0,0,0,1,IR042EE,0,0,115,0,5,0,5
Math,86,0,5,1,0,0,0,0,1,IR012EE,0,0,100,10,0,0,0
Physics,86,0,6.5,1,0,0,0,0,1,IR012EE,2.5,0,172.5,2.5,2.5,2.5,0
Hot,87,0.625,6.5,1,0,1,0,0,1,IR010CS,4.375,0.625,131.25,3.125,0,3.75,5
Hot,88,6.5,7.5,1,1,1,1,0,1,IR033CS,6.5,0,103,0.9999999999999998,3,0.9999999999999998,2.5
Hot,89,4,7.5,0,0,0,0,0,1,IR004CS,0,0,42,0,2,1.0000000000000002,6
Hot,90,5.7142857142857135,8,1,1,1,0,0,1,IR036EE,0,1.4285714285714288,84.28571428571429,1.25,1.25,2.8571428571428568,1.4285714285714288
Hot,91,0,6,1,0,0,0,0,1,IR012EE,2.8571428571428568,0,161.42857142857142,4.285714285714286,1.4285714285714288,2.8571428571428568,0
Hot,92,5,6,0,1,1,1,0,1,IR006CS,1.666666666666667,0,38.333333333333336,1.666666666666667,0,3.333333333333334,1.666666666666667
Hot,93,1.3043478260869563,8,1,0,1,0,0,1,IR004CS,1.3043478260869563,0,86.95652173913041,2.1739130434782608,1.7391304347826086,0.43478260869565233,6.086956521739131
Hot,94,1.818181818181818,6,0,1,1,1,0,1,IR004EE,0,0,43.63636363636363,0.909090909090909,1.818181818181818,0,6.363636363636363
Math,95,10,1,1,0,0,0,0,1,IR050CS,0,0,60,0,0,0,10
Physics,95,7.142857142857143,1,1,0,0,0,0,1,IR050CS,0,0,87.14285714285714,1.4285714285714288,0,2.8571428571428577,4.285714285714286
Hot,96,0.625,1.5,0,0,0,0,0,1,IR010CS,4.375,1.25,118.75,3.75,0,3.75,4.375
Math,97,0,3.5,1,0,0,0,17,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,97,0,8,1,0,0,0,17,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,98,1.7391304347826086,6,0,0,0,0,18,0,IR004CS,1.3043478260869563,0,89.13043478260872,2.1739130434782608,1.3043478260869563,0.8695652173913047,6.086956521739131
Math,99,0,2,0,0,1,0,18,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,99,0,1,0,0,1,0,18,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Math,100,0,7,0,0,1,1,17,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,100,0,6,0,0,1,1,17,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,101,1.7391304347826086,6.5,1,0,1,1,17,0,IR004CS,1.3043478260869563,0,86.36363636363635,2.608695652173913,0.8695652173913043,1.3043478260869563,6.521739130434783
Hot,102,1.7391304347826086,8,0,1,1,1,18,0,IR004CS,1.3043478260869563,0,98.2608695652174,2.608695652173913,1.3043478260869563,0.8695652173913047,5.6521739130434785
Hot,103,1.3043478260869563,6,0,0,0,0,18,0,IR004CS,1.3043478260869563,0,82.6086956521739,2.608695652173913,1.3043478260869563,0.8695652173913044,6.086956521739131
Hot,104,1.7391304347826086,6,0,0,1,0,17,0,IR004CS,1.3043478260869563,0,89.13043478260872,2.1739130434782608,1.3043478260869563,0.8695652173913047,6.086956521739131
Math,105,0,2,1,1,0,1,17,0,IR004CS,0,0,43.33333333333333,6.666666666666666,0,6.666666666666666,6.666666666666666
Physics,105,0,3,1,1,0,1,17,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Math,106,0,5,1,0,0,0,16,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,106,0,6,1,0,0,0,16,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,107,1.25,8,0,1,1,1,18,0,IR004CS,1.25,0,88.33333333333331,2.0833333333333335,1.666666666666667,0.4166666666666668,5.833333333333332
Hot,108,1.3043478260869563,1.5,1,0,1,0,18,0,IR004CS,1.3043478260869563,0,82.6086956521739,2.608695652173913,1.3043478260869563,0.8695652173913044,6.086956521739131
Hot,109,1.818181818181818,9,0,0,1,1,18,0,IR004CS,1.3636363636363642,0,86.36363636363635,2.7272727272727275,0.909090909090909,1.3636363636363635,6.363636363636363
Hot,110,1.7391304347826086,3.5,1,0,1,0,18,0,IR004CS,1.3043478260869563,0,90.86956521739128,2.1739130434782608,1.3043478260869563,0.8695652173913047,5.6521739130434785
Math,111,0,1,0,1,1,1,18,0,IR004CS,0,0,43.33333333333333,6.666666666666666,0,6.666666666666666,6.666666666666666
Physics,111,0,1,0,1,1,1,18,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,112,1.818181818181818,8.5,0,1,0,0,18,0,IR004CS,1.3636363636363642,0,86.36363636363635,2.7272727272727275,0.909090909090909,1.3636363636363635,6.363636363636363
Hot,113,1.7391304347826086,8.5,0,1,1,1,18,0,IR004CS,1.3043478260869563,0,89.13043478260872,2.1739130434782608,1.3043478260869563,0.8695652173913047,6.086956521739131
Hot,114,1.666666666666667,8.5,0,0,0,0,17,0,IR004CS,1.6666666666666663,0,82.08333333333331,2.916666666666666,0.8333333333333333,1.25,6.25
Math,115,0,15,0,1,0,0,19,0,IR004CS,0,0,43.33333333333333,6.666666666666666,0,6.666666666666666,6.666666666666666
Physics,115,0,7.5,0,1,0,0,19,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Math,116,0,7.5,1,0,1,0,18,0,IR004CS,0,0,43.33333333333333,6.666666666666666,0,6.666666666666666,6.666666666666666
Physics,116,0,8,1,0,1,0,18,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Math,117,0,9,0,0,0,0,18,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,117,0,7,0,0,0,0,18,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Math,118,0,1,0,0,1,1,17,0,IR004CS,0,0,43.33333333333333,6.666666666666666,0,6.666666666666666,6.666666666666666
Physics,118,0,1,0,0,1,1,17,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Math,119,0,4,0,1,1,1,17,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,119,0,4,0,1,1,1,17,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Math,120,0,2,0,0,1,1,17,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,120,0,3,0,0,1,1,17,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,121,1.3043478260869563,7.5,1,0,1,0,19,0,IR004CS,1.3043478260869563,0,84.0909090909091,2.608695652173913,1.3043478260869563,0.8695652173913044,6.521739130434783
Hot,122,1.7391304347826086,2,0,0,1,1,20,0,IR004CS,1.3043478260869563,0,92.72727272727272,2.1739130434782608,1.3043478260869563,0.8695652173913047,6.086956521739131
Hot,123,1.818181818181818,6,1,0,1,0,19,0,IR004CS,1.3636363636363642,0,86.36363636363635,2.7272727272727275,0.909090909090909,1.3636363636363635,6.363636363636363
Math,124,0,2,0,1,1,1,19,0,IR004CS,0,0,43.33333333333333,6.666666666666666,0,6.666666666666666,6.666666666666666
Physics,124,0,1.5,0,1,1,1,19,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,125,1.3636363636363638,4,1,0,1,0,17,0,IR004CS,1.3636363636363642,0,88.63636363636365,2.2727272727272725,1.818181818181818,0.45454545454545464,6.363636363636365
Math,126,0,4,0,1,1,0,19,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,126,0,4.5,0,1,1,0,19,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,127,1.818181818181818,5,0,0,1,1,18,0,IR004CS,1.3636363636363642,0,92.72727272727272,2.2727272727272725,1.3636363636363635,0.9090909090909092,5.909090909090909
Hot,128,1.3636363636363638,7,0,1,1,1,18,0,IR004CS,1.3636363636363642,0,84.0909090909091,2.7272727272727275,1.3636363636363635,0.909090909090909,6.363636363636363
Math,129,0,12,0,0,0,0,18,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,129,0,8,0,0,0,0,18,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,130,1.7391304347826086,5,0,1,0,0,17,0,IR004CS,0.8695652173913047,0,73.63636363636364,2.608695652173913,0.8695652173913043,1.7391304347826086,6.956521739130435
Hot,131,1.3636363636363638,7,0,0,1,1,20,0,IR004CS,1.3636363636363642,0,84.0909090909091,2.7272727272727275,1.3636363636363635,0.909090909090909,6.363636363636363
Hot,132,1.7391304347826086,6,1,0,0,0,17,0,IR004CS,1.3043478260869563,0,90.86956521739128,2.1739130434782608,1.3043478260869563,0.8695652173913047,5.6521739130434785
Math,133,0,1,0,0,1,1,17,0,IR004CS,0,0,90,3.333333333333334,3.333333333333334,3.333333333333334,3.333333333333334
Physics,133,0,1,0,0,1,1,17,0,IR004CS,4.285714285714286,0,165.71428571428572,4.285714285714286,0,0,5.7142857142857135
Hot,134,0.43478260869565233,5,1,0,0,0,19,0,IR004EE,0.8695652173913047,0,90.86956521739128,2.608695652173913,0.8695652173913047,0.43478260869565233,6.956521739130435
Hot,135,0.8695652173913044,4,0,0,1,0,18,0,IR004EE,0.8695652173913047,0,91.7391304347826,2.608695652173913,1.3043478260869563,0.43478260869565233,6.956521739130435
Hot,136,0.8695652173913044,9,0,0,1,1,17,0,IR004EE,0.8695652173913047,0,85.65217391304347,3.0434782608695654,0.8695652173913044,0.8695652173913044,7.391304347826086
Hot,137,0.43478260869565233,3,0,0,1,1,19,0,IR004EE,0.8695652173913047,0,87.3913043478261,2.173913043478261,0.8695652173913047,0.43478260869565233,7.391304347826086
Math,138,0,0,0,0,0,0,18,0,IR004EE,0,0,40,10,0,10,10
Physics,138,0,0,0,0,0,0,18,0,IR004EE,1.8181818181818177,0,111.81818181818184,2.727272727272727,0,0,6.363636363636363
Math,139,0,6,0,0,1,0,19,0,IR004EE,0,0,110,5,5,5,5
Physics,139,0,6,0,0,1,0,19,0,IR004EE,1.8181818181818177,0,111.81818181818184,2.727272727272727,0,0,6.363636363636363
Math,140,0,15,0,0,1,1,15,0,IR006CS,0,5,132.5,7.5,0,2.5,0
Physics,140,4.444444444444445,15,0,0,1,1,15,0,IR006CS,3.333333333333334,1.1111111111111112,104.44444444444444,4.444444444444445,0,2.2222222222222223,0
Hot,141,2.2222222222222223,9,1,1,0,0,17,0,IR006CS,1.111111111111111,3.333333333333334,117.7777777777778,5.555555555555555,0,3.333333333333334,0
Hot,142,2.592592592592593,5,1,0,1,0,16,0,IR006CS,1.851851851851852,2.2222222222222223,103.7037037037037,4.0740740740740735,0,1.8518518518518523,1.111111111111111
Hot,143,2.592592592592593,6.5,1,0,0,0,17,0,IR006CS,1.851851851851852,2.2222222222222223,103.7037037037037,4.0740740740740735,0,1.8518518518518523,1.111111111111111
Hot,144,2.9411764705882346,6,1,0,1,0,18,0,IR006CS,2.352941176470588,2.9411764705882346,109.41176470588236,5.294117647058823,0,2.352941176470588,1.176470588235294
Hot,145,2.592592592592593,8,0,0,1,1,16,0,IR006CS,1.851851851851852,2.2222222222222223,103.7037037037037,4.0740740740740735,0,1.8518518518518523,1.111111111111111
Hot,146,2.6923076923076925,8,1,1,1,1,17,0,IR006CS,1.9230769230769231,2.3076923076923075,105.3846153846154,4.230769230769231,0,1.9230769230769231,1.1538461538461535
Math,147,0,3.5,0,0,1,0,17,0,IR006CS,0,5,132.5,7.5,0,2.5,0
Physics,147,4.444444444444445,2.5,0,0,1,0,17,0,IR006CS,3.333333333333334,1.1111111111111112,104.44444444444444,4.444444444444445,0,2.2222222222222223,0
Math,148,0,0,0,0,1,1,18,0,IR006CS,0,5,132.5,7.5,0,2.5,0
Physics,148,5.7142857142857135,0.5,0,0,1,1,18,0,IR006CS,2.8571428571428577,1.4285714285714288,107.14285714285714,4.285714285714286,0,2.8571428571428568,0
Hot,149,2.3076923076923075,3.5,1,0,0,0,17,0,IR006CS,1.5384615384615388,2.3076923076923075,106.53846153846152,4.230769230769231,0,1.9230769230769231,0.7692307692307694
Hot,150,2.592592592592593,9,0,1,1,1,16,0,IR006CS,1.851851851851852,1.8518518518518523,100.37037037037037,3.703703703703704,0,1.8518518518518523,0.7407407407407407
Math,151,0,7.5,0,1,0,0,15,0,IR006CS,0,5,132.5,7.5,0,2.5,0
Physics,151,4.444444444444445,9,0,1,0,0,15,0,IR006CS,3.333333333333334,1.1111111111111112,104.44444444444444,4.444444444444445,0,2.2222222222222223,0
Math,152,0,1,1,0,1,0,19,0,IR006CS,0,5,132.5,7.5,0,2.5,0
Physics,152,4.444444444444445,1,1,0,1,0,19,0,IR006CS,3.333333333333334,1.1111111111111112,104.44444444444444,4.444444444444445,0,2.2222222222222223,0
Math,153,0,1.5,1,0,1,0,18,0,IR006CS,0,5,132.5,7.5,0,2.5,0
Physics,153,4.444444444444445,1,1,0,1,0,18,0,IR006CS,3.333333333333334,1.1111111111111112,104.44444444444444,4.444444444444445,0,2.2222222222222223,0
Math,154,0,15,1,0,0,0,19,0,IR006CS,0,5,132.5,7.5,0,2.5,0
Physics,154,4.444444444444445,15,1,0,0,0,19,0,IR006CS,3.333333333333334,1.1111111111111112,104.44444444444444,4.444444444444445,0,2.2222222222222223,0
Math,155,0,2,1,0,0,0,17,0,IR006CS,0,5,132.5,7.5,0,2.5,0
